Data;Hora;Moeda;Qtd;Tipo;Status
2020-12-23;09:26:38;XRP;2086,541524;ENTRADA;Origem Externa
2021-01-20;19:25:04;ADA;200,0;ENTRADA;Origem Externa
2021-01-21;04:50:28;EUR;59,56;SAÍDA;Para Carteira Externa
2021-01-24;17:24:10;XRP;1000,0;ENTRADA;Origem Externa
2021-01-24;17:34:16;XRP;3003,75;ENTRADA;Origem Externa
2021-01-24;23:00:10;XRP;1000,0;ENTRADA;Origem Externa
2021-02-02;08:23:00;STX;1234,374822;ENTRADA;Origem Externa
2021-02-06;20:32:56;ETH;6,0;ENTRADA;Origem Externa
2021-02-14;09:53:00;ADA;48,788151;ENTRADA;Origem Externa
2021-02-15;07:28:14;EUR;35,28;SAÍDA;Para Carteira Externa
2021-02-16;12:13:40;XLM;2718,0;SAÍDA;Para Carteira Externa
2021-02-18;23:48:14;ADA;10,0;ENTRADA;Origem Externa
2021-02-18;23:50:28;ADA;48000,0;ENTRADA;Origem Externa
2021-02-20;10:40:52;BTC;0,25158378;ENTRADA;Origem Externa
2021-03-08;12:46:12;EUR;400,8;SAÍDA;Para Carteira Externa
2021-03-10;10:12:32;EUR;1800,0;SAÍDA;Para Carteira Externa
2021-03-17;04:54:32;EUR;1500,0;SAÍDA;Para Carteira Externa
2021-03-22;19:18:24;EUR;2000,8;SAÍDA;Para Carteira Externa
2021-04-01;18:12:32;ADA;1,0;ENTRADA;Origem Externa
2021-04-04;23:27:08;XRP;3000,25;SAÍDA;Para Carteira Externa
2021-04-08;14:14:04;ADA;1007,9905;ENTRADA;Origem Externa
2021-04-08;19:33:04;BTC;0,18192083;ENTRADA;Origem Externa
2021-04-14;08:09:24;USDC;10015,0;SAÍDA;Para Carteira Externa
2021-04-14;08:21:24;USDC;10015,0;SAÍDA;Para Carteira Externa
2021-04-15;20:45:04;EGLD;0,95;SAÍDA;Para Carteira Externa
2021-04-15;20:54:02;EGLD;35,008;SAÍDA;Para Carteira Externa
2021-04-19;17:20:12;VET;10,0;ENTRADA;Origem Externa
2021-04-19;17:26:10;VET;50742,402;ENTRADA;Origem Externa
2021-04-19;22:54:32;ADA;2750,0;ENTRADA;Origem Externa
2021-04-22;11:43:16;EUR;6763,77;SAÍDA;Para Carteira Externa
2021-04-22;11:53:08;ETH;5,005;SAÍDA;Para Carteira Externa
2021-04-22;13:15:34;BNB;0,15;ENTRADA;Origem Externa
2021-04-22;13:21:04;BNB;49,89212452;ENTRADA;Origem Externa
2021-05-06;11:58:04;ADA;1566,0;ENTRADA;Origem Externa
2021-05-07;19:18:40;LINK;250,0;ENTRADA;Origem Externa
2021-05-09;07:32:04;ADA;10000,0;ENTRADA;Origem Externa
2021-05-09;07:34:32;ADA;10000,0;ENTRADA;Origem Externa
2021-05-10;06:01:32;EUR;3824,43;SAÍDA;Para Carteira Externa
2021-05-10;09:20:20;EUR;6285,0;SAÍDA;Para Carteira Externa
2021-05-15;01:07:00;LUNA;5,02;SAÍDA;Para Carteira Externa
2021-05-15;01:20:02;LUNA;166,593;SAÍDA;Para Carteira Externa
2021-05-15;15:27:02;USDC;1851,0;SAÍDA;Para Carteira Externa
2021-05-16;08:54:02;LUNA;233,4;SAÍDA;Para Carteira Externa
2021-05-16;09:11:00;LUNA;497,2;SAÍDA;Para Carteira Externa
2021-05-17;06:20:06;EUR;2018,41;SAÍDA;Para Carteira Externa
2021-05-18;18:44:02;SOL;0,027;SAÍDA;Para Carteira Externa
2021-05-18;19:04:02;SOL;2,52;SAÍDA;Para Carteira Externa
2021-05-18;21:23:12;SOL;0,0129;ENTRADA;Origem Externa
2021-05-23;10:33:08;LINK;250,0;ENTRADA;Origem Externa
2021-05-23;10:39:14;ETH;5,0;ENTRADA;Origem Externa
2021-05-23;20:48:32;ADA;30246,0;ENTRADA;Origem Externa
2021-05-24;15:24:04;ADA;50603,0;ENTRADA;Origem Externa
2021-05-28;07:29:00;THETA;1,3;SAÍDA;Para Carteira Externa
2021-05-28;07:49:02;THETA;999,7;SAÍDA;Para Carteira Externa
2021-05-28;16:10:04;ADA;51060,0;ENTRADA;Origem Externa
2021-05-28;16:49:04;USDT;100,0;SAÍDA;Para Carteira Externa
2021-05-28;16:59:04;USDT;30258,090147;SAÍDA;Para Carteira Externa
2021-05-28;17:23:02;USDC;30027,0;SAÍDA;Para Carteira Externa
2021-06-04;11:59:04;USDT;17496,955658;SAÍDA;Para Carteira Externa
2021-06-05;21:45:08;ETH;4,0;ENTRADA;Origem Externa
2021-06-06;10:11:02;SOL;248,013;SAÍDA;Para Carteira Externa
2021-06-06;11:25:00;ALGO;5093,6279;SAÍDA;Para Carteira Externa
2021-06-06;15:27:02;SOL;152,846001;SAÍDA;Para Carteira Externa
